Serial-number,Stations,Category,Transmitter,Fequency,Studio,Lat,Lng
319,BHARATPUR,LPT RELAY,100 W FM,100.1 Mhz,,27.216981,77.489515
320,KARAULI,LPT RELAY,100 W FM,100.1 Mhz,,26.488323,77.0161436
321,ANUPGARH,LPT RELAY,100 W FM,100.1 Mhz,,29.1811533,73.1998604
322,DUNGARPUR,,1 kW MW,1485 kHz,Transmission studio with voice - over,23.841668,73.7146623
324,RONGPO,LPT RELAY,100 W FM,100.1 Mhz,,27.176147,88.5287339
325,RONGLI,LPT RELAY,100 W FM,100.1 Mhz,,27.2035717,88.7018671
326,YANGYANG,LPT RELAY,100 W FM,100.1 Mhz,,38.0753925,128.6188503
327,TASHIDING,LPT RELAY,100 W FM,100.1 Mhz,,27.307806,88.291138
328,ZORTHANG,LPT RELAY,100 W FM,100.1 Mhz,,27.1317196,88.2796278
329,NAMCHI,LPT RELAY,100 W FM,100.1 Mhz,,27.166996,88.3652122
330,CHENNAI,,200 KW MW 'A',720 khz,MULTI TRACK,13.0826802,80.2707184
331,COIMBATORE,,20 kW MW,999 khz,TYPE I,11.0168445,76.9558321
332,KODAIKANAL,,10 KW FM,100.5 Mhz,MP(STEREO),10.2381136,77.4891822
333,MADURAI,,20 kW MW,1269 khz,TYPE II,9.9252007,78.1197754
334,NAGARCOIL,LRS,10 KW FM,101 Mhz,MP,8.1832857,77.4118996
335,OOTTACAMUND,,1 kW MW,1602 khz,MP,11.4064138,76.6932438
336,TIRUCHIRAPALLI,,100 KW MW,936 khz,TYPE IV RNU,10.7904833,78.7046725
337,TIRUNELVELI,,20 KW MW,1197 khz,TYPE I,8.7139126,77.7566523
338,TUTICORIN,,200 KW MW,1053 khz,TYPE I,8.7641661,78.1348361
339,DHARMAPURI,LRS,10 KW FM,102.5 Mhz,MP,12.1065271,78.1361409
340,SALEM (YERCAUD),LPT RELAY,100 W FM,100.9 Mhz,,11.775251,78.2092576
341,THANJAVUR,LPT RELAY,100 W FM,101.2 Mhz,,10.7869994,79.1378274
342,RAMESHWARAM,LPT RELAY,100 W FM,100.1 MHZ,,9.2876254,79.3129291
343,VELLORE,LPT RELAY,100 W FM,100.1 MHZ,,12.9165167,79.1324986
344,TIRUPATTUR,LPT RELAY,100 W FM,100.1 MHZ,,12.5080698,78.5701749
345,AGARTALA,,20 kW MW,1269 khz,TYPE I  UPLINK RNU,23.831457,91.2867777
346,BELONIA,LRS,6 KW FM,103.7 Mhz,MP,23.2504915,91.4676394
347,KAILASHAHAR,LRS,6 KW FM,103.2 Mhz,MP,24.3268117,92.0126276
348,AMARPUR,LPT RELAY,100 W FM,100.1 MHZ,,25.0396898,86.9035511
349,KHOWAI,LPT RELAY,100 W FM,100.1 MHZ,,24.0671796,91.6056718
350,TELIMURA,LPT RELAY,100 W FM,100.1 MHZ,,23.8410576,91.6276989
351,SABROOM,LPT RELAY,100 W FM,100.1 MHZ,,23.0097804,91.7198215
352,DHARMANAGAR,,1 kW MW,1584 kHz,Playback with Voiceover recording & field,24.3783242,92.1548473
353,CHANDIGARH [1],VB Exclusive,6 KW FM,103.1 Mhz,STEREO,30.741149,76.744067
354,SILVASA,LPT RELAY,100 W FM,100.1 Mhz,,20.2762659,73.0083061
355,DAMAN [1],LRS,3 KW FM,102.3 Mhz,MP,50.1215241,6.0024491
356,PONDICHERRY,,20 kW MW,1215 khz,MP RNU,11.9415915,79.8083133
357,KARAIKAL,LRS,6 KW FM,100.3 Mhz,MP,10.9254398,79.8380056
358,KAVARATTI,,1 kW MW,1584 khz,MP,10.5593204,72.6358134
359,PORT BLAIR A&N,,100 kW MW,684 khz,RNU,11.6682881,92.737778
360,AGRA,,20 kW MW,1530 khz,TYPE I,27.1766701,78.0080745
361,ALIGARH,RELAY,6 KW FM,101.3 Mhz,,27.8973944,78.0880129
362,ALLAHABAD,,20 kW MW,1026 khz,TYPE III,25.4358011,81.846311
363,BAREILLY,LRS,6 KW FM,100.4 Mhz,MP,28.3670355,79.4304381
364,FAIZABAD,LRS,6 KW FM,101.9 Mhz,MP,26.7732476,82.1441643
365,GORAKHPUR,,100 KW MW,909 khz,TYPE III RNU,29.4438165,75.6702647
366,JHANSI,LRS,6 KW FM,103 Mhz,MP,25.4484257,78.5684594
367,KANPUR,VB EXCL,1 kW FM,103.7 Mhz,TYPE I,26.449923,80.3318736
368,LUCKNOW,,300 KW MW,747 khz,TYPE IV Uplink News on Phone,26.8466937,80.946166
369,MATHURA,,1 kW MW,1584 khz,TYPE I,27.4924134,77.673673
370,NAJIBABAD,,200 KW MW,954 khz,TYPE I,29.6127789,78.3446003
371,OBRA,,6 KW FM,102.7 Mhz,MP,52.4695022,15.6523566
372,RAMPUR,,20 kW MW,891 khz,TYPE I,28.7893041,79.0249516
373,VARANASI,,100 KW MW,1242 khz,TYPE II UPLINK(Under installn.),25.3176452,82.9739144
374,BHARAICH,LPT RELAY,100 W FM,100.1 Mhz,,27.5708377,81.5980246
375,ORAI,LPT RELAY,100 W FM,100.1 Mhz,,ZERO_RESULTS,ZERO_RESULTS
376,BALRAMPUR,LPT RELAY,100 W FM,100.1 Mhz,,27.4308339,82.3017728
377,MAHOBA,LPT RELAY,100 W FM,100.1 Mhz,,25.2920964,79.8724168
378,PILIBHIT,LPT RELAY,100 W FM,100.1 Mhz,,28.6207939,79.8128649
379,HARDOI,LPT RELAY,100 W FM,100.1 Mhz,,27.3986345,80.1316927
380,LAKHIMPURKHERI,RELAY,10 kW FM,102.3 Mhz,,27.9462395,80.7787163
381,MAUNATH BHANJAN,RELAY,10 kW FM,102.2 Mhz,,25.9496379,83.5586445
382,RAEBAREILI,,5 kW FM,102.8 MHz,Studio with Voice-over recording & playback facility,26.2345298,81.2408689
383,AMETHI,,5 kW FM,103.1 MHz,Studio with Voice-over recording &,26.1540538,81.814238
384,ALMORA,,1 kW MW,999 khz,TYPE I UPLINK,29.5892407,79.646666
385,BHATWARI,RELAY,100 W FM,100.3MHz,,30.818273,78.6185941
386,GOPESHWAR(CHAMOLI),,1 kW MW,1485 khz,MP,30.4095258,79.3197973
387,MUSSOORIE,RELAY,10 KW FM,102.1 Mhz,,30.4599099,78.0663978
388,PAURI,,1 kW MW,1602 khz,MP,30.1471155,78.7745393
389,PITHORAGARH,RELAY,1 kW MW,1602 khz,,29.5828604,80.2181884
390,UTTARKASHI,RELAY,1 kW MW,1602 khz,,30.7268307,78.4354042
391,PRATAP NAGAR,LPT RELAY,100 W FM,100.1 MHz,,28.666615,77.1988826
392,BACHER,LPT RELAY,100 W FM,100.1 MHz,,52.3080669,9.812224
393,RAJGARHI,LPT RELAY,100 W FM,100.1 MHz,,30.8447193,78.2518863
394,TANAKPUR,LPT RELAY,100 W FM,100.1 MHz,,29.0722375,80.1065646
395,KHAETIKHAN,LPT RELAY,100 W FM,100.1 MHz,,29.4019156,80.0802469
396,UKHIMATH,LPT RELAY,100 W FM,100.1 MHz,,30.51488,79.0959642
397,NAINITAL,LPT RELAY,100 W FM,100.1 MHz,,29.3803039,79.4635658
398,KASHIPUR,LPT RELAY,100 W FM,100.1 MHz,,29.2104232,78.9618845
399,KALAGARH,LPT RELAY,100 W FM,100.1 MHz,,29.4888517,78.7603759
400,RANIKHET,LPT RELAY,100 W FM,100.1 MHz,,29.6433615,79.4321825
401,ASANSOLE,RELAY,6 KW FM RELAY,100.3 Mhz,,23.6739452,86.9523954
402,KOLKATA,,200 KW MW,657 khz,TYPE IV UPLINK RNU,22.572646,88.363895
403,KURSEONG,,50 KW SW,,TYPE II RNU,26.8821382,88.2788511
404,MURSHIDABAD,LRS,6 KW FM,102.2 Mhz,MP,24.1759039,88.2801785
405,SHANTINIKETAN,LRS,3 KW FM,103.1 Mhz,MP,23.6776471,87.6852323
406,SILIGURI,,200 KW MW,711 khz,TYPE I,26.7271012,88.3952861
407,DARJEELING,LPT RELAY,100 W FM,100.2 Mhz,,27.0360066,88.2626751
408,BALURGHAT,LPT RELAY,100 W FM,101.00 Mhz,,25.2372834,88.7830612
409,MEDNIPUR,LPT RELAY,100 W FM,100.1 Mhz,,22.4308892,87.3214908
410,PURULIA,LPT RELAY,100 W   FM,100.1 Mhz,,23.3320779,86.365208
411,FARAKKA,LPT RELAY,100 W   FM,100.1 Mhz,,24.7828022,87.9040571
412,KRISHNAGAR,LPT RELAY,100 W   FM,100.1 Mhz,,23.4008744,88.5013962
413,COOCHBEHAR,LPT RELAY,100 W   FM,100.1 Mhz,,26.3356861,89.445851
